experiment,benchmark,tau,method,rep,d,r,rank_hat,queries,discovery_queries,subspace_error,best_noisy_value,final_value,regret,batch,rep_global
optimization,sphere,0.0,cross_block_adaptive,0,12,2,6,3999,720,1.0,-0.0628595446164256,0.0064631950232073,0.0064631950232073,1,2
optimization,sphere,0.0,cross_sparse_known,0,12,2,2,3999,600,0.7096105021198446,-0.0646440323987237,0.0022820177127346,0.0022820177127346,1,2
optimization,sphere,0.0,random_subspace,0,12,2,2,3999,0,0.9891382031743124,-0.0764446041882096,0.0031397220305609,0.0031397220305609,1,2
optimization,sphere,0.0,full_zo,0,12,2,12,3999,0,1.0,-0.0468237443709124,0.0002673081464808,0.0002673081464808,1,2
optimization,sphere,0.0,oracle_subspace,1,12,2,2,3999,0,2.1073424255447017e-08,-0.0566491219755925,0.0043103969175458,0.0043103969175458,1,3
optimization,sphere,0.0,cross_block_known,1,12,2,2,3999,720,0.2237481021342398,-0.0796446346015412,0.0045100842709771,0.0045100842709771,1,3
optimization,sphere,0.0,cross_block_adaptive,1,12,2,7,3999,720,1.0,-0.0613157267322068,0.007489941368447,0.007489941368447,1,3
optimization,sphere,0.0,cross_sparse_known,1,12,2,2,3999,600,0.7378971428218881,-0.0638621247831542,0.0027149325574306,0.0027149325574306,1,3
optimization,sphere,0.0,random_subspace,1,12,2,2,3999,0,0.9932332001888684,-0.0600889459126202,0.0079781482508921,0.0079781482508921,1,3
optimization,sphere,0.0,full_zo,1,12,2,12,3999,0,1.0,-0.0516130760691791,0.0021979839737394,0.0021979839737394,1,3
optimization,sphere,0.02,oracle_subspace,0,12,2,2,3999,0,0.0,-0.036276008550405,0.0386746501240341,0.0386746501240341,1,2
optimization,sphere,0.02,cross_block_known,0,12,2,2,3999,720,0.4175663994191432,-0.0372429299095467,0.0330145614117078,0.0330145614117078,1,2
optimization,sphere,0.02,cross_block_adaptive,0,12,2,2,3999,720,0.3244889003624973,-0.0355510714844117,0.0313994729502057,0.0313994729502057,1,2
optimization,sphere,0.02,cross_sparse_known,0,12,2,2,3999,600,0.7711716773418744,-0.0262486810595999,0.0331614599227298,0.0331614599227298,1,2
optimization,sphere,0.02,random_subspace,0,12,2,2,3999,0,0.9760021728059683,-0.0147620672767301,0.0442616417663493,0.0442616417663493,1,2
optimization,sphere,0.02,full_zo,0,12,2,12,3999,0,1.0,-0.0064776663695478,0.0470669076249817,0.0470669076249817,1,2
