experiment,method,rep,tasks,d,r,rank_hat,subspace_error,total_queries,mean_regret,median_regret
amortization,full_equal_total,6,5,12,2,12,1.0,8215,0.3243000637317989,0.29263774814569615
amortization,oracle_subspace,6,5,12,2,2,0.0,7495,0.2529974191859758,0.12249795792690793
amortization,random_subspace,6,5,12,2,2,1.0,7495,1.001400138906477,1.0507713136720602
amortization,cross_reused,7,1,12,2,2,0.22360675753294698,2219,0.04640170736925162,0.04640170736925162
amortization,full_equal_total,7,1,12,2,12,1.0,2219,0.1238734719525176,0.1238734719525176
amortization,oracle_subspace,7,1,12,2,2,0.0,1499,0.024937580224882766,0.024937580224882766
amortization,random_subspace,7,1,12,2,2,1.0,1499,0.040656204340891455,0.040656204340891455
amortization,cross_reused,7,3,12,2,2,0.22360675753294698,5217,0.30780868496193964,0.1856965276104343
amortization,full_equal_total,7,3,12,2,12,1.0,5217,0.5631269558010812,0.654108093738129
amortization,oracle_subspace,7,3,12,2,2,0.0,4497,0.5679886570687122,0.4490376354508616
amortization,random_subspace,7,3,12,2,2,1.0,4497,0.44317553381579716,0.0895336734633278
amortization,cross_reused,7,5,12,2,2,0.22360675753294698,8215,0.46848467013110656,0.4005474873377567
amortization,full_equal_total,7,5,12,2,12,1.0,8215,0.6895004615688068,0.883927842652561
amortization,oracle_subspace,7,5,12,2,2,0.0,7495,0.6138631453334071,0.6727974537602005
amortization,random_subspace,7,5,12,2,2,1.0,7495,0.9811570409220834,1.0201099834737954
amortization,cross_reused,8,1,12,2,2,0.1614029503073263,2219,0.7589364459872951,0.7589364459872951
amortization,full_equal_total,8,1,12,2,12,1.0,2219,1.0999981415699287,1.0999981415699287
amortization,oracle_subspace,8,1,12,2,2,0.0,1499,0.5507237643105691,0.5507237643105691
amortization,random_subspace,8,1,12,2,2,1.0,1499,2.260921454157047,2.260921454157047
amortization,cross_reused,8,3,12,2,2,0.1614029503073263,5217,0.3790816146660771,0.48967875056056004
amortization,full_equal_total,8,3,12,2,12,1.0,5217,0.36697681860368037,0.17032609133573356
amortization,oracle_subspace,8,3,12,2,2,0.0,4497,0.29854321635094977,0.31379565444698404
amortization,random_subspace,8,3,12,2,2,1.0,4497,0.3471410157543791,0.19816787485640305
amortization,cross_reused,8,5,12,2,2,0.1614029503073263,8215,0.1939622749285194,0.20738365740315037
amortization,full_equal_total,8,5,12,2,12,1.0,8215,0.4491493093124193,0.05104581941170864
amortization,oracle_subspace,8,5,12,2,2,0.0,7495,0.23246669482322152,0.1090475495890281
amortization,random_subspace,8,5,12,2,2,1.0,7495,0.5474302727484373,0.14432478096841234
amortization,cross_reused,9,1,12,2,2,0.2819481628915594,2219,0.0928366154139279,0.0928366154139279
amortization,full_equal_total,9,1,12,2,12,1.0,2219,0.019419443142458002,0.019419443142458002
amortization,oracle_subspace,9,1,12,2,2,0.0,1499,0.01915755657200388,0.01915755657200388
amortization,random_subspace,9,1,12,2,2,1.0,1499,0.1910159795127766,0.1910159795127766
amortization,cross_reused,9,3,12,2,2,0.2819481628915594,5217,0.09893667691598373,0.02011230571262696
amortization,full_equal_total,9,3,12,2,12,1.0,5217,0.09614264080945371,0.09997034584211331
amortization,oracle_subspace,9,3,12,2,2,0.0,4497,0.1103115262192609,0.05359349596965381
amortization,random_subspace,9,3,12,2,2,1.0,4497,0.12288044468460439,0.10186709635462454
amortization,cross_reused,9,5,12,2,2,0.2819481628915594,8215,0.2635541566606205,0.20902353093482545
amortization,full_equal_total,9,5,12,2,12,1.0,8215,0.27463495967983614,0.25447735700435276
amortization,oracle_subspace,9,5,12,2,2,0.0,7495,0.32470108082118976,0.3013857653706025
amortization,random_subspace,9,5,12,2,2,1.0,7495,22.985194723561776,0.5896050474893264
