experiment,method,rep,d,r,n_anchors,queries,operator_error,frobenius_error,subspace_error,rank_hat
moment_bias,outer,9,12,2,1280,20480,0.1526100646819213,0.2595278850400606,0.0491471218035815,2
moment_bias,outer_trace,9,12,2,1280,20480,0.0943774305291135,0.1901612074251966,0.0705555780122363,2
moment_bias,cross,10,12,2,80,1280,0.2989964670050284,0.4899547935665287,0.3067741686222615,2
moment_bias,outer,10,12,2,80,1280,0.2411693605941171,0.3781926858354794,0.1855469568315747,2
moment_bias,outer_trace,10,12,2,80,1280,0.2207959165258325,0.3378217625999214,0.1960196498866574,2
moment_bias,cross,10,12,2,160,2560,0.2505140823076455,0.3699353781345718,0.2199042432885316,2
moment_bias,outer,10,12,2,160,2560,0.2553007502718368,0.3404843303059815,0.1263943405784725,2
moment_bias,outer_trace,10,12,2,160,2560,0.1752593445824175,0.2654276443401037,0.1022583804151592,2
moment_bias,cross,10,12,2,320,5120,0.2298767426837576,0.32409725650633,0.2050843276820892,2
moment_bias,outer,10,12,2,320,5120,0.1847772514633252,0.2975158946850534,0.1078714785091716,2
moment_bias,outer_trace,10,12,2,320,5120,0.2204047270251637,0.2879072545479179,0.1068313960213446,2
moment_bias,cross,10,12,2,640,10240,0.1143142079426069,0.1768209290467035,0.1713138805668036,2
moment_bias,outer,10,12,2,640,10240,0.2044528243548917,0.3017340958811027,0.0762814421388134,2
moment_bias,outer_trace,10,12,2,640,10240,0.1539040243312019,0.2310285281963601,0.0516739330378714,2
moment_bias,cross,10,12,2,1280,20480,0.0693623069887901,0.0988407577449221,0.0905754928167581,2
moment_bias,outer,10,12,2,1280,20480,0.1843674405563821,0.28613579915437,0.0477128155035858,2
moment_bias,outer_trace,10,12,2,1280,20480,0.1344865429386841,0.2144083644396921,0.0442655935855827,2
moment_bias,cross,11,12,2,80,1280,0.3316137078828638,0.4910161230861283,0.3171346744698719,2
moment_bias,outer,11,12,2,80,1280,0.316785176249809,0.4297569723693212,0.1650913364830682,2
moment_bias,outer_trace,11,12,2,80,1280,0.183802301033794,0.2982980196238354,0.196829854647081,2
moment_bias,cross,11,12,2,160,2560,0.2664965113997437,0.3855480059629781,0.283152696758092,2
moment_bias,outer,11,12,2,160,2560,0.2958239041448393,0.3657763963945555,0.1397590102134245,2
moment_bias,outer_trace,11,12,2,160,2560,0.1252608711682907,0.2451283408155595,0.1858438582653755,2
moment_bias,cross,11,12,2,320,5120,0.1742162401808671,0.256058751286386,0.2620661855718904,2
moment_bias,outer,11,12,2,320,5120,0.1547627586508579,0.2618133677352475,0.1221817645399461,2
moment_bias,outer_trace,11,12,2,320,5120,0.1484860002090858,0.2339675787473701,0.129256142055316,2
moment_bias,cross,11,12,2,640,10240,0.1480841133668372,0.1958068694945387,0.108091147502759,2
moment_bias,outer,11,12,2,640,10240,0.2589480560228894,0.3426566562412809,0.0686707251672981,2
moment_bias,outer_trace,11,12,2,640,10240,0.2163139194020045,0.2789139250286754,0.0783064425458565,2
moment_bias,cross,11,12,2,1280,20480,0.0961556234208402,0.132453045221186,0.1173342881402828,2
moment_bias,outer,11,12,2,1280,20480,0.2362176415087261,0.3302623424567331,0.0421274955334215,2
moment_bias,outer_trace,11,12,2,1280,20480,0.1583437248374429,0.2375608408862838,0.0440113612786644,2
moment_bias,cross,12,12,2,80,1280,0.3786024340415039,0.4808163616853382,0.3448792463091957,2
moment_bias,outer,12,12,2,80,1280,0.3180255133922192,0.4103199683276833,0.2032537547668732,2
moment_bias,outer_trace,12,12,2,80,1280,0.1521719604534388,0.2782945706940035,0.1884535035183604,2
moment_bias,cross,12,12,2,160,2560,0.325279028034101,0.3939736270846486,0.2879443404990285,2
moment_bias,outer,12,12,2,160,2560,0.1861895421908033,0.2929979646228577,0.1094627602944331,2
moment_bias,outer_trace,12,12,2,160,2560,0.1582266459286555,0.2689916401917024,0.1147320051651164,2
moment_bias,cross,12,12,2,320,5120,0.168145632294862,0.2672351712290366,0.1502091994532705,2
moment_bias,outer,12,12,2,320,5120,0.1635446052627464,0.2596957978193881,0.116178813163312,2
moment_bias,outer_trace,12,12,2,320,5120,0.1242068738425319,0.229122951565294,0.1419437286049483,2
moment_bias,cross,12,12,2,640,10240,0.2941373647167337,0.317991552262262,0.1258602977196122,2
moment_bias,outer,12,12,2,640,10240,0.0921115068837871,0.2188775449007639,0.0508377306128226,2
moment_bias,outer_trace,12,12,2,640,10240,0.1043434563741442,0.1908930421616938,0.0625842477425554,2
moment_bias,cross,12,12,2,1280,20480,0.0968812723374966,0.1348506927514367,0.1058320862184241,2
moment_bias,outer,12,12,2,1280,20480,0.1585922878742528,0.263112682549972,0.0427356154139551,2
moment_bias,outer_trace,12,12,2,1280,20480,0.1075055158195439,0.1973371821536562,0.053311603934765,2
moment_bias,cross,13,12,2,80,1280,0.5571864391445158,0.6633505160904624,0.6627156125643768,2
moment_bias,outer,13,12,2,80,1280,0.4807862984407763,0.5440812864917611,0.175788366441266,2
moment_bias,outer_trace,13,12,2,80,1280,0.3980295916290959,0.4603755169832064,0.197640399920613,2
moment_bias,cross,13,12,2,160,2560,0.2219355576608586,0.3535025131909755,0.4805875615973885,2
moment_bias,outer,13,12,2,160,2560,0.221154635544466,0.3211209382130515,0.1525082799068099,2
moment_bias,outer_trace,13,12,2,160,2560,0.2347184884044816,0.2911366825003783,0.1384818453122968,2
moment_bias,cross,13,12,2,320,5120,0.124081874581437,0.2037561663637315,0.1458934189905751,2
moment_bias,outer,13,12,2,320,5120,0.2694181924634851,0.3393846429121464,0.0722117702953192,2
moment_bias,outer_trace,13,12,2,320,5120,0.2001633624644488,0.2576891476698755,0.1587354226489765,2
moment_bias,cross,13,12,2,640,10240,0.1161088751559008,0.167723958842785,0.22694356259624,2
moment_bias,outer,13,12,2,640,10240,0.1302531040728929,0.241982632962717,0.063448128097547,2
moment_bias,outer_trace,13,12,2,640,10240,0.0986667677484927,0.1857232158732554,0.0722253056321777,2
moment_bias,cross,13,12,2,1280,20480,0.0978824471449569,0.1445787398815568,0.0901344928555245,2
moment_bias,outer,13,12,2,1280,20480,0.0980164749426119,0.2277385082387594,0.0608217266766489,2
moment_bias,outer_trace,13,12,2,1280,20480,0.0822932098400212,0.1800135813030105,0.0514806441005551,2
moment_bias,cross,14,12,2,80,1280,0.6764171553946349,0.770244381755689,0.5482433278077098,2
moment_bias,outer,14,12,2,80,1280,0.195813133898673,0.3703259079888704,0.2994841160182442,2
moment_bias,outer_trace,14,12,2,80,1280,0.2983515422346647,0.378637196004797,0.2671831843867048,2
