experiment,method,rep,d,r,n_anchors,directions_per_side,queries,operator_error,subspace_error,rank_hat
dimension_scaling,cross_known_rank,5,40,2,800,8,25600,0.18858197615123026,0.17061639662287142,2
dimension_scaling,cross_adaptive,5,40,2,800,8,25600,0.18858197615123026,0.17061639662287142,2
dimension_scaling,cross_known_rank,6,40,2,800,8,25600,0.14535140110410524,0.15077859252162432,2
dimension_scaling,cross_adaptive,6,40,2,800,8,25600,0.14535140110410524,0.15077859252162432,2
dimension_scaling,cross_known_rank,7,40,2,800,8,25600,0.14533050638050024,0.1825544791756308,2
dimension_scaling,cross_adaptive,7,40,2,800,8,25600,0.14533050638050024,0.1825544791756308,2
dimension_scaling,cross_known_rank,8,40,2,800,8,25600,0.2022040995813231,0.17029591108548262,2
dimension_scaling,cross_adaptive,8,40,2,800,8,25600,0.2022040995813231,1.0,1
dimension_scaling,cross_known_rank,9,40,2,800,8,25600,0.15186066195480846,0.17837791076184364,2
dimension_scaling,cross_adaptive,9,40,2,800,8,25600,0.15186066195480846,0.17837791076184364,2
dimension_scaling,cross_known_rank,0,40,4,800,8,25600,0.2372272381573019,0.24208409332445605,4
dimension_scaling,cross_adaptive,0,40,4,800,8,25600,0.2372272381573019,0.24208409332445605,4
dimension_scaling,cross_known_rank,1,40,4,800,8,25600,0.2307429988777102,0.22255372191984682,4
dimension_scaling,cross_adaptive,1,40,4,800,8,25600,0.2307429988777102,0.22255372191984682,4
dimension_scaling,cross_known_rank,2,40,4,800,8,25600,0.21963942170192122,0.20094887134548653,4
dimension_scaling,cross_adaptive,2,40,4,800,8,25600,0.21963942170192122,0.20094887134548653,4
dimension_scaling,cross_known_rank,3,40,4,800,8,25600,0.23329599171416784,0.2598329426981694,4
dimension_scaling,cross_adaptive,3,40,4,800,8,25600,0.23329599171416784,0.2598329426981694,4
dimension_scaling,cross_known_rank,4,40,4,800,8,25600,0.22786211460174222,0.25358378772725865,4
dimension_scaling,cross_adaptive,4,40,4,800,8,25600,0.22786211460174222,0.25358378772725865,4
dimension_scaling,cross_known_rank,5,40,4,800,8,25600,0.21392522630249244,0.2267281975203547,4
dimension_scaling,cross_adaptive,5,40,4,800,8,25600,0.21392522630249244,0.2267281975203547,4
dimension_scaling,cross_known_rank,6,40,4,800,8,25600,0.1820492483269409,0.21620231890445146,4
dimension_scaling,cross_adaptive,6,40,4,800,8,25600,0.1820492483269409,0.21620231890445146,4
dimension_scaling,cross_known_rank,7,40,4,800,8,25600,0.26412422702603755,0.19611711919242775,4
dimension_scaling,cross_adaptive,7,40,4,800,8,25600,0.26412422702603755,0.19611711919242775,4
dimension_scaling,cross_known_rank,8,40,4,800,8,25600,0.25852087904753757,0.21534067489036687,4
dimension_scaling,cross_adaptive,8,40,4,800,8,25600,0.25852087904753757,0.21534067489036687,4
dimension_scaling,cross_known_rank,9,40,4,800,8,25600,0.28355087503428394,0.2739840044341928,4
dimension_scaling,cross_adaptive,9,40,4,800,8,25600,0.28355087503428394,0.2739840044341928,4
